                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1096,                  1.832,                 1.1326,                0.12449,                   0.96,                0.12555,                0.08832,                 1.0467,                 4.2177,                 1.1062,             0.00066288,             0.00066288,             0.00066288
                      2,                 1.1264,                0.80853,                 1.1481,                0.08117,                   0.92,                0.08203,                0.05463,                 1.0663,                  17.83,                 1.1077,              0.0013032,              0.0013032,              0.0013032
                      3,                  1.095,                0.75677,                 1.1644,                0.78445,                   0.89,                0.86738,                0.58934,                 1.0873,                  1.077,                 1.1452,              0.0019172,              0.0019172,              0.0019172
                      4,                 1.0339,                0.65244,                 1.1161,                0.98248,                   0.97,                0.99228,                0.73628,                 1.0252,                 0.7337,                 1.0726,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0668,                0.62005,                 1.1222,                0.90477,                   0.99,                0.97309,                0.69435,                 1.0507,                0.67323,                 1.0788,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0489,                0.56191,                 1.1129,                0.93736,                0.97274,                0.98246,                0.65541,                 1.2412,                0.65842,                 1.1326,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.0166,                0.55442,                 1.0902,                0.95135,                  0.995,                0.98912,                0.73215,                 1.0154,                0.57419,                 1.0585,               0.001802,               0.001802,               0.001802
                      8,                 1.0296,                 0.5459,                 1.1161,                0.97009,                0.97292,                0.99094,                0.72687,                 1.0162,                 0.5797,                 1.0815,              0.0017624,              0.0017624,              0.0017624
                      9,                0.98601,                0.55091,                  1.075,                0.94063,                  0.985,                 0.9825,                0.74155,                0.95597,                0.55338,                 1.0279,              0.0017228,              0.0017228,              0.0017228
                     10,                0.96224,                 0.5199,                 1.0712,                0.99499,                0.99239,                0.99275,                0.73961,                0.98521,                0.52587,                 1.0453,              0.0016832,              0.0016832,              0.0016832
                     11,                0.96716,                0.50675,                 1.0671,                0.99283,                      1,                0.99286,                0.75948,                0.94647,                0.50221,                   1.02,              0.0016436,              0.0016436,              0.0016436
                     12,                0.93373,                 0.4759,                 1.0636,                 0.9844,                      1,                0.99276,                0.73643,                 1.0019,                0.52849,                 1.0505,               0.001604,               0.001604,               0.001604
                     13,                0.96159,                0.47261,                 1.0633,                0.99282,                  0.995,                0.99355,                0.74203,                 1.0132,                0.49949,                 1.0663,              0.0015644,              0.0015644,              0.0015644
                     14,                 0.9611,                0.47118,                 1.0641,                0.98539,                  0.985,                0.99127,                 0.7297,                0.99585,                0.49919,                 1.0417,              0.0015248,              0.0015248,              0.0015248
                     15,                0.92688,                0.46767,                 1.0467,                0.99376,                  0.995,                  0.995,                0.74552,                 0.9919,                0.48607,                 1.0342,              0.0014852,              0.0014852,              0.0014852
                     16,                0.93332,                0.45777,                  1.045,                0.97676,                      1,                0.99151,                0.72599,                 1.0326,                0.48253,                 1.0331,              0.0014456,              0.0014456,              0.0014456
                     17,                0.90661,                0.44044,                 1.0327,                0.99143,                  0.995,                0.99425,                0.74669,                 1.0006,                0.46328,                  1.027,               0.001406,               0.001406,               0.001406
                     18,                0.90562,                0.44168,                   1.03,                0.99309,                      1,                0.99425,                0.77791,                0.93868,                0.44267,                 1.0104,              0.0013664,              0.0013664,              0.0013664
                     19,                0.91011,                0.44293,                 1.0405,                      1,                0.98981,                 0.9949,                 0.7781,                0.91071,                0.46383,                0.99397,              0.0013268,              0.0013268,              0.0013268
                     20,                0.91915,                0.44935,                 1.0423,                 0.9852,                0.99882,                0.98782,                0.74946,                0.94104,                0.45858,                 1.0105,              0.0012872,              0.0012872,              0.0012872
                     21,                0.89179,                0.42528,                 1.0077,                0.98981,                      1,                0.99376,                 0.7701,                0.92164,                 0.4283,                0.99738,              0.0012476,              0.0012476,              0.0012476
                     22,                0.87017,                0.42908,                 1.0061,                0.99502,                0.99998,                  0.995,                0.77913,                0.91834,                0.42444,                0.99564,               0.001208,               0.001208,               0.001208
                     23,                0.88623,                0.41618,                 1.0203,                0.99992,                      1,                  0.995,                0.76649,                 0.9349,                0.47711,                 1.0014,              0.0011684,              0.0011684,              0.0011684
                     24,                0.89424,                0.41999,                 1.0185,                 0.9936,                      1,                0.99331,                0.77733,                0.90845,                0.44885,                0.99527,              0.0011288,              0.0011288,              0.0011288
                     25,                0.85638,                0.40829,                 1.0009,                 0.9987,                      1,                  0.995,                0.76773,                0.95632,                0.43094,                 1.0033,              0.0010892,              0.0010892,              0.0010892
                     26,                0.86525,                0.40715,                 1.0074,                0.99931,                      1,                  0.995,                0.77631,                0.93737,                0.39984,                0.99326,              0.0010496,              0.0010496,              0.0010496
                     27,                0.87588,                0.41316,                 1.0085,                0.99956,                      1,                  0.995,                0.78438,                 0.9153,                 0.4145,                0.99518,                0.00101,                0.00101,                0.00101
                     28,                0.87139,                0.40447,                 1.0089,                0.99951,                      1,                  0.995,                0.77807,                0.95272,                0.40791,                 1.0053,              0.0009704,              0.0009704,              0.0009704
                     29,                0.86158,                0.39223,                0.99707,                0.99844,                      1,                  0.995,                0.77548,                 0.9421,                0.40278,                 1.0049,              0.0009308,              0.0009308,              0.0009308
                     30,                 0.8742,                0.39727,                 1.0033,                0.99808,                      1,                  0.995,                0.78061,                0.93127,                0.41636,                0.99997,              0.0008912,              0.0008912,              0.0008912
                     31,                0.85793,                0.37898,                 1.0054,                0.99487,                      1,                  0.995,                 0.7825,                0.92667,                0.39304,                0.98856,              0.0008516,              0.0008516,              0.0008516
                     32,                 0.8551,                0.37346,                0.98782,                0.99212,                      1,                 0.9942,                0.79273,                 0.9117,                0.38544,                0.99508,               0.000812,               0.000812,               0.000812
                     33,                0.82014,                0.36309,                 0.9893,                0.98946,                      1,                0.99286,                0.79091,                0.91316,                0.38792,                 0.9914,              0.0007724,              0.0007724,              0.0007724
                     34,                0.82474,                0.36816,                0.98433,                0.99453,                      1,                0.99475,                 0.7969,                0.90556,                0.37913,                0.98504,              0.0007328,              0.0007328,              0.0007328
                     35,                0.83475,                 0.3666,                0.99659,                0.99456,                      1,                  0.995,                0.79735,                0.91123,                0.36827,                0.98396,              0.0006932,              0.0006932,              0.0006932
                     36,                0.82013,                0.35561,                0.97586,                0.99424,                      1,                0.99381,                0.78778,                0.90162,                0.37726,                0.98362,              0.0006536,              0.0006536,              0.0006536
                     37,                0.83101,                0.36047,                0.98712,                0.99381,                      1,                0.99381,                0.79771,                0.88701,                0.37063,                0.98033,               0.000614,               0.000614,               0.000614
                     38,                0.81375,                0.34965,                0.98696,                0.99398,                      1,                 0.9945,                0.77812,                0.94084,                0.37504,                0.99084,              0.0005744,              0.0005744,              0.0005744
                     39,                0.82463,                0.34659,                0.98307,                0.99446,                      1,                0.99326,                0.78659,                0.89315,                 0.3709,                 0.9853,              0.0005348,              0.0005348,              0.0005348
                     40,                0.81108,                0.34711,                0.97896,                0.99462,                      1,                0.99376,                0.79756,                0.90264,                0.37329,                0.98263,              0.0004952,              0.0004952,              0.0004952
                     41,                0.79794,                0.34028,                0.96771,                0.99478,                      1,                  0.995,                 0.8022,                 0.8765,                0.35405,                0.97305,              0.0004556,              0.0004556,              0.0004556
                     42,                0.79547,                0.32992,                0.97703,                0.99469,                      1,                 0.9945,                0.79822,                0.90196,                0.35802,                0.97521,               0.000416,               0.000416,               0.000416
                     43,                0.78433,                0.33824,                0.97454,                0.98991,                      1,                0.99495,                0.79191,                  0.905,                0.36995,                0.97861,              0.0003764,              0.0003764,              0.0003764
                     44,                 0.7754,                0.33637,                0.96745,                0.99475,                      1,                0.99495,                0.78928,                0.90373,                0.35596,                0.98139,              0.0003368,              0.0003368,              0.0003368
                     45,                0.76988,                0.33374,                0.96112,                0.99467,                      1,                 0.9949,                0.79167,                0.90365,                0.36318,                0.98262,              0.0002972,              0.0002972,              0.0002972
                     46,                0.77946,                0.32934,                0.95565,                0.99471,                      1,                0.99495,                0.80211,                0.88713,                0.35001,                0.97498,              0.0002576,              0.0002576,              0.0002576
                     47,                0.76132,                0.31842,                0.96266,                0.99471,                      1,                0.99425,                0.80171,                0.90093,                 0.3512,                0.98028,               0.000218,               0.000218,               0.000218
                     48,                0.75852,                0.31974,                0.95325,                0.99476,                      1,                0.99316,                0.80105,                0.88404,                0.34498,                0.97283,              0.0001784,              0.0001784,              0.0001784
                     49,                0.75186,                0.31562,                 0.9504,                0.99477,                      1,                  0.994,                0.80151,                0.87699,                0.33874,                0.97007,              0.0001388,              0.0001388,              0.0001388
                     50,                0.76024,                0.31602,                0.95584,                0.99476,                      1,                0.99445,                0.80349,                0.86758,                0.33864,                0.96941,               9.92e-05,               9.92e-05,               9.92e-05
